time,value,readout,run,experiment,value_post_inhib_scaled
555,0.08043956,iSH2,1,2,0.08043956
570,0.062637363,iSH2,1,2,0.062637363
585,0.11989011,iSH2,1,2,0.11989011
600,0.112747253,iSH2,1,2,0.112747253
615,0.111538462,iSH2,1,2,0.111538462
630,0.124065934,iSH2,1,2,0.124065934
645,0.074725275,iSH2,1,2,0.074725275
660,0.091758242,iSH2,1,2,0.091758242
675,0.184285714,iSH2,1,2,0.184285714
690,0.124505495,iSH2,1,2,0.124505495
705,0.152307692,iSH2,1,2,0.152307692
720,0.199010989,iSH2,1,2,0.199010989
735,0.191208791,iSH2,1,2,0.191208791
750,0.142087912,iSH2,1,2,0.142087912
765,0.158901099,iSH2,1,2,0.158901099
780,0.194175824,iSH2,1,2,0.194175824
795,0.238131868,iSH2,1,2,0.238131868
810,0.135824176,iSH2,1,2,0.135824176
825,0.202857143,iSH2,1,2,0.202857143
840,0.201978022,iSH2,1,2,0.201978022
855,0.227912088,iSH2,1,2,0.227912088
870,0.220879121,iSH2,1,2,0.220879121
885,0.225384615,iSH2,1,2,0.225384615
900,0.238131868,iSH2,1,2,0.238131868
915,0.223516484,iSH2,1,2,0.223516484
930,0.211868132,iSH2,1,2,0.211868132
945,0.208461538,iSH2,1,2,0.208461538
960,0.275494505,iSH2,1,2,0.275494505
975,0.194945055,iSH2,1,2,0.194945055
990,0.252417582,iSH2,1,2,0.252417582
1005,0.269450549,iSH2,1,2,0.269450549
1020,0.298461538,iSH2,1,2,0.298461538
1035,0.225494505,iSH2,1,2,0.225494505
